排名,会员简称,成交量,成交量变化,持买单量,买单变化,持卖单量,卖单变化
1,东证期货（代客）,8445,-7796,2980,-624,3328,518
2,乾坤期货（代客）,3921,1327,1288,-259,2587,42
3,中信期货（代客）,3651,-3276,1189,-29,2200,-163
4,银河期货（代客）,2688,-2028,1071,-100,2066,-717
5,华泰期货（代客）,2136,-3544,978,-85,1624,-1624
6,国泰君安（代客）,2089,-7447,951,-285,1335,-3921
7,国投期货（代客）,1973,-6367,903,-87,956,0
8,海通期货（代客）,1865,885,874,-38,772,-205
9,摩根大通（代客）,1624,-9,873,-2033,629,0
10,光大期货（代客）,1332,-2021,651,83,612,-309
11,一德期货（代客）,1229,-2045,637,-379,463,-43
12,北京首创（代客）,1004,222,614,0,418,-12
13,国信期货（代客）,891,-96,605,-1355,392,-2
14,宏源期货（代客）,839,-81,566,54,384,-216
15,宝城期货（代客）,729,-371,513,-18,358,-23
16,中辉期货（代客）,604,-685,454,-3,336,-32
17,中信建投（代客）,558,-2215,430,-18,328,-194
18,东吴期货（代客）,523,-18,360,-821,300,-90
19,金信期货（代客）,435,-8,312,-34,296,-95
20,华闻期货（代客）,366,-159,280,-252,287,-92
21,,36902,-35732,16529,-6283,19671,-7178
