成交量排名
名次,会员简称,成交量,比上交易日增减
1,东证期货（代客）,8445,-7796
2,乾坤期货（代客）,3921,1327
3,中信期货（代客）,3651,-3276
4,银河期货（代客）,2688,-2028
5,华泰期货（代客）,2136,-3544
6,国泰君安（代客）,2089,-7447
7,国投期货（代客）,1973,-6367
8,海通期货（代客）,1865,885
9,摩根大通（代客）,1624,-9
10,光大期货（代客）,1332,-2021
11,一德期货（代客）,1229,-2045
12,北京首创（代客）,1004,222
13,国信期货（代客）,891,-96
14,宏源期货（代客）,839,-81
15,宝城期货（代客）,729,-371
16,中辉期货（代客）,604,-685
17,中信建投（代客）,558,-2215
18,东吴期货（代客）,523,-18
19,金信期货（代客）,435,-8
20,华闻期货（代客）,366,-159
合计,,36902,-35732

持买单量排名
名次,会员简称,持买单量,比上交易日增减
1,中信期货（代客）,2980,-624
2,中信建投（代客）,1288,-259
3,永安期货（代客）,1189,-29
4,弘业期货（代客）,1071,-100
5,国泰君安（代客）,978,-85
6,华泰期货（代客）,951,-285
7,东证期货（代客）,903,-87
8,南华期货（代客）,874,-38
9,银河期货（代客）,873,-2033
10,光大期货（代客）,651,83
11,国投期货（代客）,637,-379
12,中州期货（代客）,614,0
13,海通期货（代客）,605,-1355
14,华创期货（代客）,566,54
15,东方财富（代客）,513,-18
16,国盛期货（代客）,454,-3
17,海证期货（代客）,430,-18
18,北京首创（代客）,360,-821
19,宏源期货（代客）,312,-34
20,中粮期货（代客）,280,-252
合计,,16529,-6283

持卖单量排名
名次,会员简称,持卖单量,比上交易日增减
1,东证期货（代客）,3328,518
2,国泰君安（代客）,2587,42
3,银河期货（代客）,2200,-163
4,中信期货（代客）,2066,-717
5,摩根大通（代客）,1624,-1624
6,乾坤期货（代客）,1335,-3921
7,国海良时（代客）,956,0
8,国信期货（代客）,772,-205
9,中粮期货（代客）,629,0
10,华泰期货（代客）,612,-309
11,海证期货（代客）,463,-43
12,广州金控（代客）,418,-12
13,华闻期货（代客）,392,-2
14,中辉期货（代客）,384,-216
15,招商期货（代客）,358,-23
16,中财期货（代客）,336,-32
17,金元期货（代客）,328,-194
18,国元期货（代客）,300,-90
19,永安期货（代客）,296,-95
20,创元期货（代客）,287,-92
合计,,19671,-7178
